ninsee,transport_autoroute,transport_départementale,transport_nationale,transport_autres_routes,transport_total_général
77134,0,7198.271112497243,0,0,7198.271112497243
77135,0,8456.21045039017,0,205.1079626251684,8661.318413015339
77136,0,3982.3677287700552,0,1628.350749194773,5610.718477964829
77137,0,4955.226822256028,2367.9357392712436,1975.34811221649,9298.51067374376
77138,0,1066.791866291362,0,2539.24477558512,3606.0366418764816
77139,0,5269.322835403054,0,1670.0030329186095,6939.325868321664
77140,0,4948.790094895666,0,1277.81274345785,6226.602838353516
77141,3803.498295493876,7493.985708518099,5.39003054485979,4312.212563301899,15615.086597858734
77142,0,14884.945965256502,0,142.88719141205,15027.833156668552
77143,0,4278.729094898342,627.4420794946817,3194.024320390196,8100.195494783221
77144,0,1818.142597315344,0,3171.947769426477,4990.090366741821
77145,960.9281742617472,6833.91611730558,4195.663967900059,596.903251274716,12587.411510742104
77146,357.24584272191,4388.849003725479,941.012641846798,2378.5168025576527,8065.62429085184
77147,0,19410.868452538012,0,4234.977122871632,23645.845575409643
77148,0,14854.439809783624,0,1279.4913817689944,16133.931191552618
77150,0,2080.0012142529185,0,1925.087986895408,4005.0892011483265
77151,0,6529.320237247191,0,103.286755002429,6632.60699224962
77152,0,14292.751419413931,0,7806.061200886712,22098.812620300643
77153,0,7482.283907340215,1707.4254568373349,2296.137631346281,11485.846995523829
77154,0,3652.07057017074,555.950565579735,1247.7346845309692,5455.755820281444
77155,0,1478.0475233963384,0,924.3240336090136,2402.371557005352
77156,1535.893418271948,4972.734476769505,0,2104.9344467898,8613.562341831253
77157,2429.481482800963,5425.3906379738055,0,681.3808537015658,8536.252974476334
77158,0,6290.39274172205,0,2048.118318953428,8338.511060675479
77159,0,13842.342957948744,0,6002.929053942719,19845.272011891466
77161,0,9054.569726368902,0,1005.5400066491,10060.109733018
77162,0,13045.640130932596,0,440.07953137471907,13485.719662307316
77163,0,6405.70126999781,0,2368.122017323888,8773.823287321698
77164,634.980461758106,10556.687059647333,0,0,11191.667521405438
77165,2842.1923697091506,11033.810160471356,0,2744.3549245881345,16620.35745476864
77167,0,12528.46364563376,0,0,12528.46364563376
77168,4107.829617113604,22403.437122984506,0,3843.719609866448,30354.98634996455
77169,878.6365938929231,2941.6538135190863,3045.473038471225,8139.700041190474,15005.463487073708
77171,0,3814.8224894170166,0,3231.3310801245834,7046.1535695416005
77172,0,13676.366094921275,0,11.7045772580328,13688.070672179309
77173,0,10148.325323361776,0,2220.35421732294,12368.679540684716
77174,0,4781.942309368118,0,947.304097756736,5729.246407124854
77175,2411.9901288992073,13481.689233812062,1476.459247741238,5222.635123048547,22592.773733501053
77176,0,9503.293742560267,0,1096.7306466621808,10600.024389222448
77177,0,13534.575430301224,0,2727.790136889245,16262.365567190467
77178,0,7016.584950955632,0,1654.3365400566945,8670.921491012326
77179,0,8170.336273308216,0,0,8170.336273308216
77180,0,6610.974835596925,0,3498.274690367335,10109.24952596426
77181,0,1960.3198900317957,0,0,1960.3198900317957
77182,0,19710.60162768699,0,237.330943071641,19947.93257075863
77183,0,16316.508319514727,0,3362.5874592112536,19679.095778725983
77184,0,3510.104759548888,0,2994.26405623433,6504.368815783218
77185,2975.02596851081,6085.924167894831,0,4377.325528804505,13438.275665210143
77186,283.721961542839,128560.7759106751,0,13945.610243619994,142790.10811583794
77187,0,8500.403102036837,0,1903.410336005643,10403.81343804248
77188,0,11906.291478536294,0,2338.359101587928,14244.650580124222
77190,0,7232.163122985402,0,1405.6815115822417,8637.844634567642
77191,0,17112.170692982658,0,606.364353903063,17718.53504688572
77192,0,14982.073333300952,10443.566661838657,6268.490123914182,31694.130119053792
77193,0,6835.699542351872,0,0,6835.699542351872
77194,4060.6683343037184,10680.195515980671,0,1403.7759021272161,16144.639752411607
77195,864.7015164159972,6585.679360821764,0,0,7450.3808772377615
77196,0,5475.600446387116,3306.9145211002115,1573.43415881199,10355.949126299318
77197,0,4052.288216511944,489.45220169790014,0,4541.740418209844
77198,0,8779.719085149383,0,1885.959103691666,10665.67818884105
77199,0,4745.783540352093,0,1433.745067425358,6179.528607777451
77200,0,4076.4078598811393,0,0,4076.4078598811393
77201,0,10525.940668110785,0,0,10525.940668110785
77202,0,8407.479815910945,0,0,8407.479815910945
77203,0,5340.525090332184,0,4094.4315705787862,9434.956660910973
77204,0,1391.1609940304902,0,1614.9257609992053,3006.0867550296953
77205,0,2557.37665043628,0,2184.200031731516,4741.576682167796
77206,0,5852.01479008642,0,0,5852.01479008642
77207,0,6792.993137974873,0,3642.60694531327,10435.600083288144
77208,0,10056.477577754493,0,2529.946553161331,12586.424130915824
77209,0,5495.641615146407,0,1607.6282835182,7103.269898664607
77210,423.886593870064,19839.285756454672,0,8775.13675094985,29038.309101274583
77211,0,17756.000422916983,0,3909.262523264539,21665.262946181523
77212,945.0303643508508,3220.191424011295,0,4360.283777513299,8525.505565875446
77214,0,3742.8239206546914,0,0,3742.8239206546914
77215,0,7445.775029607512,3453.6134082192457,2133.935269005374,13033.323706832132
77216,2632.6174684941516,10049.581231516258,0,3791.4912428919647,16473.689942902372
